test,cluster genes,cluster gene ids,variable factors,gsea pval,bootstrapping pval,ora pval
cluster_2_UP - Rrsys,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.787371757,0.505,
cluster_2_UP - PA_systolic,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.799521643,0.298,
cluster_2_UP - PA_diastolic,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.958422632,0.486,
cluster_2_UP - ven_SO2,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.883,
cluster_2_UP - AVDO2,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.66598699,0.487,
cluster_2_UP - TAPSE,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.862253201,0.805,
cluster_2_UP - RVEDD,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.960562915,0.331,
cluster_2_UP - S,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.64,
cluster_2_UP - sPAP excl. ZVD,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.838511068,0.24,
cluster_2_UP - ZVD,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.784,
cluster_2_UP - VCI_diameter,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.603678685,0.13,
cluster_2_UP - RA_area,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.980651917,0.429,
cluster_2_UP - AT,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.474,
cluster_2_UP - AT_ET,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.972203895,0.236,
cluster_2_UP - Paradoxe_Septumbewegung,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.201981051,0.164,
cluster_2_UP - Perikarderguss,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.817,
cluster_2_UP - SMW,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.685298911,0.132,
cluster_2_UP - FEV1,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.86857434,0.862,
cluster_2_UP - Tiffeneau Index FEV1/VC,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.987130187,0.578,
cluster_2_UP - DLCO,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,1,0.991,
cluster_2_UP - Kreatinin,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.595634816,0.43,
cluster_2_UP - eGFR,15,ENSG00000100373|UPK3A ENSG00000104881|PPP1R13L ENSG00000113356|POLR3G ENSG00000131400|NAPSA ENSG00000144115|THNSL2 ENSG00000222375|RN7SKP127 ENSG00000224805|LINC00853 ENSG00000226766|FABP7P1 ENSG00000233411|ENSG00000233411 ENSG00000246334|PRR7-AS1 ENSG00000274275|ENSG00000274275 ENSG00000274591|ENSG00000274591 ENSG00000279981|ENSG00000279981 ENSG00000288704|ENSG00000288704 ENSG00000291299|ENSG00000291299,NA,0.868296873,0.606,
cluster_3_UP - condition/healthy,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,3,-,0.313,0.315334046
cluster_3_UP - condition/pah,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,3,-,0.973,0.969023652
cluster_3_UP - condition/ph-lung,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,3,-,0.278,0.295376383
cluster_3_UP - gender/F,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,2,-,0.505,0.475457076
cluster_3_UP - gender/M,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,2,-,0.718,0.740315286
cluster_3_UP - age,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.113,
cluster_3_UP - height,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.449,
cluster_3_UP - weight,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.987569276,0.621,
cluster_3_UP - BNP,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.921312699,0.97,
cluster_3_UP - NYHA,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.999852249,0.232,
cluster_3_UP - heart rate,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.828798536,0.057,
cluster_3_UP - mPAP,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.984754386,0.068,
cluster_3_UP - PAWP,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.293,
cluster_3_UP - CVP,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.412,
cluster_3_UP - HZV_Fick,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.74983016,0.686,
cluster_3_UP - HZV_Thermodil,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.780216219,0.46,
cluster_3_UP - PVR,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.986846167,0.124,
cluster_3_UP - Cardiac Index,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.980563423,0.442,
cluster_3_UP - Rrsys,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.728354488,0.132,
cluster_3_UP - PA_systolic,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.950970393,0.223,
cluster_3_UP - PA_diastolic,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.814301514,0.006,
cluster_3_UP - ven_SO2,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.937649691,0.142,
cluster_3_UP - AVDO2,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.406,
cluster_3_UP - TAPSE,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.738696268,0.042,
cluster_3_UP - RVEDD,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.998016508,0.534,
cluster_3_UP - S,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.676018856,0.1,
cluster_3_UP - sPAP excl. ZVD,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.521,
cluster_3_UP - ZVD,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.85,
cluster_3_UP - VCI_diameter,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.883007314,0.31,
cluster_3_UP - RA_area,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.969892417,0.117,
cluster_3_UP - AT,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.456,
cluster_3_UP - AT_ET,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.008,
cluster_3_UP - Paradoxe_Septumbewegung,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.029,
cluster_3_UP - Perikarderguss,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.882304125,0.308,
cluster_3_UP - SMW,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.068,
cluster_3_UP - FEV1,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.961468573,0.69,
cluster_3_UP - Tiffeneau Index FEV1/VC,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.768,
cluster_3_UP - DLCO,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.909174596,0.696,
cluster_3_UP - Kreatinin,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,1,0.623,
cluster_3_UP - eGFR,6,ENSG00000108821|COL1A1 ENSG00000115414|FN1 ENSG00000164692|COL1A2 ENSG00000168542|COL3A1 ENSG00000229638|RPL4P4 ENSG00000267077|ENSG00000267077,NA,0.935136942,0.507,
cluster_4_UP - condition/healthy,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,3,-,0.767,0.763096339
cluster_4_UP - condition/pah,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,3,-,0.27,0.274863127
cluster_4_UP - condition/ph-lung,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,3,-,0.922,0.919806396
cluster_4_UP - gender/F,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,2,-,0.74,0.708543676
cluster_4_UP - gender/M,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,2,-,0.652,0.653620986
cluster_4_UP - age,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.513661071,0.009,
cluster_4_UP - height,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.73,
cluster_4_UP - weight,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.558135634,0.082,
cluster_4_UP - BNP,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.929700741,0.652,
cluster_4_UP - NYHA,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.406,
cluster_4_UP - heart rate,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.774601907,0.038,
cluster_4_UP - mPAP,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.139665326,0.001,
cluster_4_UP - PAWP,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.965924566,0.81,
cluster_4_UP - CVP,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.963776964,0.207,
cluster_4_UP - HZV_Fick,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.331,
cluster_4_UP - HZV_Thermodil,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.790126404,0.203,
cluster_4_UP - PVR,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.095172457,0,
cluster_4_UP - Cardiac Index,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.608253286,0.113,
cluster_4_UP - Rrsys,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.983692378,0.831,
cluster_4_UP - PA_systolic,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.180229212,0.001,
cluster_4_UP - PA_diastolic,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.102539103,0,
cluster_4_UP - ven_SO2,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.991397335,0.866,
cluster_4_UP - AVDO2,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.219,
cluster_4_UP - TAPSE,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.446508172,0.061,
cluster_4_UP - RVEDD,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.816,
cluster_4_UP - S,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.142,
cluster_4_UP - sPAP excl. ZVD,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.006,
cluster_4_UP - ZVD,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.884,
cluster_4_UP - VCI_diameter,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.846332133,1,
cluster_4_UP - RA_area,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.945648339,0.431,
cluster_4_UP - AT,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.757476432,0.04,
cluster_4_UP - AT_ET,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.632,
cluster_4_UP - Paradoxe_Septumbewegung,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.938916937,0.202,
cluster_4_UP - Perikarderguss,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.679398342,0.527,
cluster_4_UP - SMW,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.749456215,0.668,
cluster_4_UP - FEV1,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.926711781,0.612,
cluster_4_UP - Tiffeneau Index FEV1/VC,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.174,
cluster_4_UP - DLCO,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,0.67157072,0.946,
cluster_4_UP - Kreatinin,3,ENSG00000089199|CHGB ENSG00000100376|FAM118A ENSG00000289723|ENSG00000289723,NA,1,0.846,
